Date,Weekly Mean Price,Weekly Max Price
2019-11-05,55.60285714285715,57.04
2019-11-06,55.68142857142857,57.04
2019-11-07,55.90571428571429,57.04
2019-11-08,56.215714285714284,57.04
2019-11-12,56.59428571428572,57.04
2019-11-13,56.714285714285715,57.04
2019-11-14,56.74857142857143,57.04
2019-11-15,56.82,57.54
2019-11-18,56.91571428571429,57.54
2019-11-19,56.63285714285714,57.54
2019-11-20,56.58857142857143,57.54
2019-11-21,56.83,58.36
2019-11-22,56.94428571428572,58.36
2019-11-25,57.118571428571435,58.36
2019-11-26,57.220000000000006,58.36
2019-11-27,57.40571428571429,58.36
2019-11-29,57.86142857142857,58.36
2019-12-02,57.755714285714284,58.36
2019-12-03,57.43999999999999,58.25
2019-12-04,57.551428571428566,58.46
2019-12-05,57.64142857142857,58.46
2019-12-06,57.777142857142856,59.2
2019-12-09,57.901428571428575,59.2
2019-12-10,58.058571428571426,59.22
2019-12-11,58.454285714285724,59.22
2019-12-12,58.887142857142855,59.22
2019-12-13,59.12285714285714,60.11
2019-12-16,59.378571428571426,60.21
2019-12-17,59.61857142857143,60.88
2019-12-18,59.895714285714284,60.93
2019-12-19,60.19285714285714,61.3
2019-12-20,60.434285714285714,61.3
2019-12-23,60.62428571428571,61.3
2019-12-24,60.77571428571429,61.3
2019-12-26,60.99142857142858,61.72
2019-12-27,61.117142857142845,61.76
2019-12-30,61.22142857142857,61.76
2019-12-31,61.19857142857143,61.76
2020-01-02,61.30428571428571,61.76
2020-01-03,61.660000000000004,63.0
2020-01-06,61.959999999999994,63.27
2020-01-07,62.1,63.27
2020-01-08,61.79857142857143,63.27
2020-01-09,61.49857142857143,63.27
2020-01-10,61.19571428571428,63.27
2020-01-13,60.767142857142865,63.27
2020-01-14,60.10142857142858,63.27
2020-01-15,59.328571428571436,62.7
2020-01-16,58.73142857142857,59.65
2020-01-17,58.574285714285715,59.56
2020-01-21,58.387142857142855,59.02
2020-01-22,58.06428571428571,58.55
2020-01-23,57.68428571428571,58.55
2020-01-24,57.07714285714285,58.55
2020-01-27,56.395714285714284,58.55
2020-01-28,55.65428571428571,58.55
2020-01-29,54.902857142857144,58.25
2020-01-30,54.03714285714286,56.76
2020-01-31,53.29714285714285,55.51
2020-02-03,52.51857142857143,54.09
2020-02-04,51.87571428571429,53.33
2020-02-05,51.558571428571426,53.33
2020-02-06,51.21714285714286,53.29
2020-02-07,50.79571428571429,52.19
2020-02-10,50.424285714285716,51.58
2020-02-11,50.19857142857143,50.94
2020-02-12,50.35142857142858,51.13
2020-02-13,50.61142857142857,51.41
2020-02-14,50.77714285714285,52.03
2020-02-18,50.94285714285714,52.1
2020-02-19,51.36714285714286,53.31
2020-02-20,51.964285714285715,53.77
2020-02-21,52.44428571428572,53.77
2020-02-24,52.47714285714286,53.77
2020-02-25,52.244285714285716,53.77
2020-02-26,51.76428571428573,53.77
2020-02-27,51.06000000000001,53.77
2020-02-28,49.848571428571425,53.77
2020-03-02,48.85000000000001,53.36
2020-03-03,47.980000000000004,51.36
2020-03-04,47.325714285714284,49.78
2020-03-05,46.771428571428565,48.67
2020-03-06,45.69571428571429,47.27
2020-03-09,43.392857142857146,47.27
2020-03-10,41.91285714285714,47.27
2020-03-11,39.96285714285715,47.27
2020-03-12,37.71857142857142,46.78
2020-03-13,35.567142857142855,45.9
2020-03-16,33.14714285714286,41.14
2020-03-17,31.121428571428574,34.47
2020-03-18,29.611428571428572,34.47
2020-03-19,28.271428571428572,33.13
2020-03-20,26.321428571428573,31.72
2020-03-23,25.145714285714284,31.72
2020-03-24,23.618571428571432,28.96
2020-03-25,22.445714285714285,26.96
2020-03-26,20.965714285714284,25.09
2020-03-27,20.25142857142857,25.09
2020-03-30,18.681428571428572,23.33
2020-03-31,18.82857142857143,23.33
2020-04-01,18.392857142857142,21.03
2020-04-02,18.985714285714288,25.18
2020-04-03,20.072857142857142,28.36
2020-04-06,21.445714285714285,28.36
2020-04-07,22.597142857142853,28.36
2020-04-08,24.15,28.36
2020-04-09,24.49142857142857,28.36
2020-04-13,24.788571428571426,28.36
2020-04-14,24.069999999999997,28.36
2020-04-15,22.87,26.21
2020-04-16,21.957142857142856,24.97
2020-04-17,21.21,24.97
2020-04-20,12.360000000000001,22.9
2020-04-21,10.361428571428572,22.36
2020-04-22,9.115714285714287,20.15
2020-04-23,8.38857142857143,19.96
2020-04-24,7.821428571428571,19.82
2020-04-27,6.7285714285714295,18.31
2020-04-28,5.884285714285715,15.99
2020-04-29,13.315714285714288,15.99
2020-04-30,14.790000000000003,19.23
2020-05-01,15.65857142857143,19.72
2020-05-04,16.431428571428572,20.47
2020-05-05,17.655714285714286,24.56
2020-05-06,19.32857142857143,24.56
2020-05-07,20.939999999999998,24.56
2020-05-08,22.32428571428571,24.73
2020-05-11,23.00857142857143,24.73
2020-05-12,23.87142857142857,25.76
2020-05-13,24.571428571428573,25.76
2020-05-14,24.97714285714286,27.4
2020-05-15,25.771428571428572,29.44
2020-05-18,26.935714285714287,31.83
2020-05-19,28.017142857142858,32.3
2020-05-20,29.380000000000003,33.56
2020-05-21,30.599999999999998,34.3
2020-05-22,31.759999999999998,34.3
2020-05-26,32.80285714285714,34.7
2020-05-27,33.28285714285715,34.7
2020-05-28,33.54571428571429,34.7
